"","sq_ft","date","location","description","ceiling_value","value","agency","savings"
"198","11795",2025-02-25,"VICTORIA, TX","Agency approved lease termination",320286,1121001,"SOCIAL SECURITY ADMINISTRATION",1121001
"199","9733",2025-02-25,"SALEM, OR","Termination via Mass Mod",262927,679228,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",679228
"200","20326",2025-02-25,"ANCHORAGE, AK","Termination via Mass Mod",855176,2209205,"GEOLOGICAL SURVEY",2209205
"201","4446",2025-02-25,"FAIRBANKS, AK","Termination via Mass Mod",144092,84054,"NATURAL RESOURCES CONSERVATION SERVICE",84054
"202","4200",2025-02-25,"WASILLA, AK","Termination via Mass Mod",100700,562242,"NATURAL RESOURCES CONSERVATION SERVICE",562242
"203","5179",2025-02-25,"BOISE, ID","Termination via Mass Mod",111193,1019271,"FEDERAL HIGHWAY ADMINISTRATION",1019271
"204","2925",2025-02-25,"IDAHO FALLS, ID","Termination via Mass Mod",52743,8790,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",8790
"205","13681",2025-02-25,"IDAHO FALLS, ID","Termination via Mass Mod",69756,488290,"NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION",488290
"206","6589",2025-02-25,"SALEM, OR","Termination via Mass Mod",158557,924916,"FEDERAL HIGHWAY ADMINISTRATION",924916
"207","2200",2025-02-25,"SALEM, OR","Termination via Mass Mod",50786,283555,"FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION",283555
"208","3386",2025-02-25,"BEND, OR","Termination via Mass Mod",94681,725888,"BUREAU OF RECLAMATION",725888
"209","6849",2025-02-25,"CORVALLIS, OR","Termination via Mass Mod",202142,1414992,"GEOLOGICAL SURVEY",1414992
"210","6156",2025-02-25,"BEND, OR","Termination via Mass Mod",192066,1392480,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",1392480
"211","2930",2025-02-25,"PUYALLUP, WA","Termination via Mass Mod",85239,298336,"NATURAL RESOURCES CONSERVATION SERVICE",298336
"212","4449",2025-02-25,"CINCINNATI, OH","Termination via Mass Mod",102456,145145,"OFFICE OF LABOR MANAGEMENT STANDARDS",145145
"213","4320",2025-02-25,"DAYTON, WA","Termination via Mass Mod",41342,3445,"NATURAL RESOURCES CONSERVATION SERVICE",3445
"214","5358",2025-02-25,"HENDERSONVILLE, NC","Termination via Mass Mod",111756,0,"FARM SERVICE AGENCY - COUNTY",0
"215","2166",2025-02-25,"RATON, NM","Termination via Mass Mod",32212,0,"NATURAL RESOURCES CONSERVATION SERVICE",0
"216","5254",2025-02-25,"SIOUX CITY, IA","Termination via Mass Mod",104186,17364,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",17364
"217","10471",2025-02-25,"LINCOLN, NE","Termination via Mass Mod",188448,62816,"NATURAL RESOURCES CONSERVATION SERVICE",62816
"218","3008",2025-02-25,"SALT LAKE CITY, UT","Termination via Mass Mod",94986,229550,"NATIONAL PARK SERVICE",229550
"219","8433",2025-02-25,"SALT LAKE CITY, UT","Termination via Mass Mod",261736,632529,"UNITED STATES TRUSTEES",632529
"220","11057",2025-02-25,"OVERLAND PARK, KS","Termination via Mass Mod",225718,75239,"NATIONAL LABOR RELATIONS BOARD",75239
"221","4133",2025-02-25,"NASHVILLE, TN","True Termination- Agency Closed Office",142577,0,"SOCIAL SECURITY ADMINISTRATION",0
"222","2999",2025-02-25,"FALMOUTH, ME","Termination via Mass Mod",70616,247157,"UNITED STATES FISH AND WILDLIFE SERVICE",247157
"223","4846",2025-02-25,"LAWRENCE, KS","Termination via Mass Mod",120110,70064,"NATURAL RESOURCES CONSERVATION SERVICE",70064
"224","14366",2025-02-25,"SIOUX CITY, IA","Termination via Mass Mod",217139,126664,"OFFICE OF U.S. ATTORNEYS",126664
"225","17039",2025-02-25,"CORPUS CHRISTI, TX","Termination via Mass Mod",409689,307267,"OFFICE OF U.S. ATTORNEYS",307267
"226","4819",2025-02-25,"BEAUMONT, TX","Termination via Mass Mod",115076,105487,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",105487
"227","7549",2025-02-25,"PAWNEE, OK","Termination via Mass Mod",156171,156171,"BUREAU OF INDIAN AFFAIRS",156171
"228","9825",2025-02-25,"SEMINOLE, OK","Termination via Mass Mod",184770,184770,"BUREAU OF INDIAN AFFAIRS",184770
"229","6401",2025-02-25,"OKLAHOMA CITY, OK","Termination via Mass Mod",133605,155873,"OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION",155873
"230","7500",2025-02-25,"MESA, AZ","Termination via Mass Mod",305100,355950,"FOREST SERVICE",355950
"231","970",2025-02-25,"NEW ORLEANS, LA","Termination via Mass Mod",17460,20370,"BUREAU OF MINERALS MANAGEMENT SERVICE",20370
"232","5036",2025-02-25,"SAN ANTONIO, TX","Termination via Mass Mod",129035,161294,"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI",161294
"233","4896",2025-02-25,"BEMIDJI, MN","Termination via Mass Mod",133916,178554,"INDIAN HEALTH SERVICE-BEMIDJI",178554
"234","5449",2025-02-25,"LUFKIN, TX","Termination via Mass Mod",88956,118609,"OFFICE OF U.S. ATTORNEYS",118609
"235","891",2025-02-25,"BATON ROUGE, LA","Termination via Mass Mod",28818,40826,"IG FOR TAX ADMINISTRATION",40826
"236","76372",2025-02-25,"HYATTSVILLE, MD","True Termination- Move to Federal Space",2543781,4239635,"DEPT OF TREASURY-BUREAU OF THE FISCAL SERVICE",4239635
"237","3703",2025-02-25,"KNOXVILLE, TN","Termination via Mass Mod",69357,109816,"INTERNAL REVENUE SERVICE NATIONAL OFFICE",109816
"238","5000",2025-02-25,"OKLAHOMA CITY, OK","Termination via Mass Mod",119951,189922,"INDIAN HEALTH SERVICE -OKLAHOMA",189922
"239","7510",2025-02-25,"SAN ANGELO, TX","Termination via Mass Mod",121398,192214,"GEOLOGICAL SURVEY",192214
"240","2850",2025-02-25,"WATONGA, OK","Termination via Mass Mod",38573,61074,"BUREAU OF INDIAN AFFAIRS",61074
"241","16787",2025-02-25,"TOLEDO, OH","Termination via Mass Mod",431551,755214,"OFFICE OF U.S. ATTORNEYS",755214
"242","7973",2025-02-25,"EL PASO, TX","Termination via Mass Mod",154936,296960,"EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",296960
"243","1609",2025-02-25,"OKLAHOMA CITY, OK","Termination via Mass Mod",20113,40225,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE",40225
"244","13531",2025-02-25,"CHICAGO, IL","Termination via Mass Mod",471820,943641,"FEDERAL TRANSIT ADMINISTRATION",943641
"245","13865",2025-02-25,"HOUMA, LA","Termination via Mass Mod",429459,858919,"BUREAU OF MINERALS MANAGEMENT SERVICE",858919
"246","90850",2025-02-25,"CARLSBAD, NM","Termination via Mass Mod",810599,1756298,"DOE-CARLSBAD OFFICE",1756298
"247","1378",2025-02-25,"GLADSTONE, MO","Termination via Mass Mod",28600,61966,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE",61966
"248","320",2025-02-25,"LONGVIEW, TX","Termination via Mass Mod",5101,11052,"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI",11052
"249","2520",2025-02-25,"HOUSTON, TX","Termination via Mass Mod",56866,132687,"ANIMAL AND PLANT HEALTH INSPECTION SERVICE",132687
"250","4900",2025-02-25,"PARAGOULD, AR","Termination via Mass Mod",90074,210172,"FARM SERVICE AGENCY - COUNTY",210172
"251","5171",2025-02-25,"CONWAY, AR","Termination via Mass Mod",105549,255077,"NATURAL RESOURCES CONSERVATION SERVICE",255077
"252","33119",2025-02-25,"MUSKOGEE, OK","Termination via Mass Mod",1272005,3710015,"OFFICE OF U.S. ATTORNEYS",3710015
"253","14478",2025-02-25,"SAN ANTONIO, TX","Termination via Mass Mod",284992,902473,"NATIONAL PARK SERVICE",902473
"254","22216",2025-02-25,"ALBUQUERQUE, NM","Termination via Mass Mod",448520,1681950,"FOREST SERVICE",1681950
