"","date","piid","agency","ceiling_value","value","update_date","fpds_status","fpds_link","vendor","description","savings"
"671",2025-02-10,"91990024F0026","Department of Education",41283.71,690,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0026&modNumber=P00001&idvAgencyID=&idvPIID=03310320D0223&contractType=AWARD","OCLC, INC","This request is for the renewal of Online Computer Library Center Services (OCLC) bibliographic utilities products and services for the Department of Educations National Library of Education. The Department of Education will be using the established FEDLINK/Library of Congress single-award IDIQ contract LCFDL20D0223 to purchase the bibliographic utilities through the FEDLINK Direct Express procurement option.",690
"672",2025-02-10,"91990022C0048","Department of Education",430461.14,19675,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0048&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","The purpose of this contract is to support the collection of descriptive data on the context of elementary and secondary education in the United States via nationally representative survey of schools, teachers and principals through the School Survey on Crime and Safety (SSOCS).",19675
"673",2025-02-07,"91990023F0358","Department of Education",674503.2,71609,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0358&modNumber=P00003&idvAgencyID=&idvPIID=91990020A0039&contractType=AWARD","THE LDM GROUP LLC","Human resources (HR) surge support and services in labor relations",71609
"674",2025-02-10,"91990021P0005","Department of Education",205161.73,89994,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021P0005&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD","EC AMERICA, INC","Appian Business Process Management (BPM) (Maintenance for Perpetual Named User.",89994
"675",2025-02-10,"91990021F0365","Department of Education",563310.12,114140,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0365&modNumber=P00004&idvAgencyID=&idvPIID=91990020D0005&contractType=AWARD","DEVELOPMENT SERVICES GROUP, INC","National Center for Educational Evaluation and Regional Assistance of the Institute of Education Sciences requires a contract to review impact studies in the field of education and provide related support.",114140
"676",2025-02-07,"91990023F0050","Department of Education",192825.65,192825.65,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0050&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA19D001T&contractType=AWARD","FM TALENT SOURCE, LLC","HR Specialist Support (OIG)",192825.65
"677",2025-02-10,"91990020F0346","Department of Education",2337660.62,233643,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990020F0346&modNumber=P00005&idvAgencyID=&idvPIID=91990019D0002&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","THIS FIVE-YEAR INDEFINITE DELIVERY-INDEFINITE QUANTITY CONTRACT (IDIQ), AWARDED IN SEPTEMBER 2019, IS INTENDED TO HELP THE INSTITUTE OF EDUCATION SCIENCES (IES) DESIGN AND CONDUCT STUDIES OF CAREER AND TECHNICAL EDUCATION (CTE) THAT TAKE ADVANTAGE OF",233643
"678",2025-02-10,"91990024C0043","Department of Education",350923,263192,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024C0043&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","KAPTIVATE LLC","National Center for Special Education Research (NCSER) Crowdsourcing Campaign Support",263192
"679",2025-02-10,"91990019F0334","Department of Education",1926885.99,263844,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019F0334&modNumber=P00011&idvAgencyID=&idvPIID=EDPEP16A0003&contractType=AWARD","ABT GLOBAL LLC","The purpose of this task order is to complete the study of Student Support and Academic Enrichment Grants (Title IV, Part A)",263844
"680",2025-02-10,"91990023F0316","Department of Education",620802.26,276090,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0316&modNumber=P00002&idvAgencyID=&idvPIID=91990020A0017&contractType=AWARD","RESEARCH TRIANGLE INSTITUTE","The purpose of this requirement is to support the collaboration of the National Center for Education Statistics (NCES) Cross-Sectional Surveys Branch (CSB) of the Sample Surveys Division (SSD) with the Bureau of Justice Statistics (BJS) to support the 2022 & 2025 Crime and Safety Surveys Program.",276090
"681",2025-02-10,"91990024F0373","Department of Education",322514.78,297328,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0373&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0029&contractType=AWARD","THE MANHATTAN STRATEGY GROUP LLC","	STAKEHOLDER'S MEETING TASK ORDER FROM PRESTO",297328
"682",2025-02-07,"91990023F0359","Department of Education",737665.64,300901,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0359&modNumber=P00002&idvAgencyID=&idvPIID=91990018A0002&contractType=AWARD","COLLABRALINK TECHNOLOGIES, INCORPORATED","SharePoint Customer Support and Business Process Enhancement",300901
"683",2025-02-10,"91990023F0308","Department of Education",2086995,303053,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0308&modNumber=P00001&idvAgencyID=&idvPIID=91990023A0001&contractType=AWARD","MATHEMATICA INC.","Custom computer programming services",303053
"684",2025-02-10,"91990024F0310","Department of Education",676843.31,374262,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0310&modNumber=P00003&idvAgencyID=&idvPIID=91990020D0005&contractType=AWARD","DEVELOPMENT SERVICES GROUP, INC","The contractor will support What Works Clearinghouse (WWC) reviews of studies and related evidence assessment activities at the request of the Department (ED) as shown in the Performance Work Statement.",374262
"685",2025-02-10,"91990024F0006","Department of Education",830224,395655,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0006&modNumber=P00001&idvAgencyID=&idvPIID=91990024D0007&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","Evaluating Programs and Strategies to Improve Student Supports, Academic Enrichment, and Conditions for Learning In and Out Of School. The Institute of Education Sciences (IES) intends to award a contract to conduct evaluations of programs and strategies designed to provide all students with access to a well-rounded and enriching education in safe, healthy, and supportive environments during school and non-school hours. This Indefinite Delivery-Indefinite Quantity contract (IDIQ) will help IES design and conduct these evaluations rigorously, quickly, and efficiently.",395655
"686",2025-02-10,"91990024F0330","Department of Education",488017,439717,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0330&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0005&contractType=AWARD","ACTIVATE RESEARCH INC.","POST SECONDARY PUBLICATIONS FOR LONGITUDINAL SURVEYS BRANCH",439717
"687",2025-02-10,"91990023F0330","Department of Education",619179.12,469521,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0330&modNumber=P00002&idvAgencyID=&idvPIID=91990023D0046&contractType=AWARD","SANAMETRIX INC","IT INVESTMENT MANAGEMENT SUPPORT",469521
"688",2025-02-10,"91990024F0394","Department of Education",498984,475746,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0394&modNumber=P00001&idvAgencyID=&idvPIID=91990024D0012&contractType=AWARD","MATHEMATICA INC.","Understanding the Implications of a Key Shift in Perkins V Accountability: Defining Who is a Concentrator",475746
"689",2025-02-10,"91990022F0377","Department of Education",1476985,484312,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0377&modNumber=P00003&idvAgencyID=&idvPIID=91990022A0016&contractType=AWARD","ABT GLOBAL LLC","Evaluating Programs and Strategies to Improve Postsecondary Education Access and Success ¿ A Study of Strategies to Promote Access to Dual Enrollment: Design and Feasibility",484312
"690",2025-02-10,"91990021F0368","Department of Education",5e+05,494224,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0368&modNumber=P00003&idvAgencyID=&idvPIID=91990019D0002&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","This award is to assist IES in conducting studies for a Congressionally mandated evaluation of career and technical education (CTE) under the Perkins Act",494224
"691",2025-02-10,"91990020F0305","Department of Education",4499965,617283,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990020F0305&modNumber=P00003&idvAgencyID=&idvPIID=EDESE15A0005&contractType=AWARD","ABT GLOBAL LLC","Technical Assistance for Education Innovation and Research (EIR) Program Grantees",617283
"692",2025-02-10,"91990020F0369","Department of Education",1821658.45,634373,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990020F0369&modNumber=P00009&idvAgencyID=&idvPIID=91990019D0003&contractType=AWARD","ABT GLOBAL LLC","This Task Order (0002) provides low cost, quick-turn around evaluations of Federal Financial Aid Information and Delivery Strategies.",634373
"693",2025-02-07,"91990022C0016","Department of Education",3153440,642882,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD","CONSTITUENT SERVICES WORLDWIDE PUBLIC BE","Portfolio of Integrated Value-Oriented Technologies - Administration Support Services",642882
"694",2025-02-10,"91990020F0309","Department of Education",1396388.05,670742,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990020F0309&modNumber=P00007&idvAgencyID=&idvPIID=EDESE15A0015&contractType=AWARD","SYNERGY ENTERPRISES, INC","This requirement necessitates the services of a contractor to support mailout operations for a number of survey collections under the Sample Survey Division, including the National Household Education Survey (NHES), National Teacher and Principal Survey (NTPS), School Survey on Crime and Safety (SSOCS), and the Private School Survey (PSS).  NCES requires the assistance of an external expert to consult on mailout operations for these survey collections.",670742
"695",2025-02-10,"91990025F0009","Department of Education",757566.92,757567,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990025F0009&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0005&contractType=AWARD","ACTIVATE RESEARCH INC.","The objective of this order is to provide communications, research, and coordination-related support to the National Center for Education Statistics (NCES) related to Department-wide efforts on OMB's revised standards
for maintaining, collecting, and presenting race/ethnicity data across federal agencies.",757567
"696",2025-02-10,"91990022F0051","Department of Education",2082834,815107,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0051&modNumber=P00003&idvAgencyID=&idvPIID=91990021D0002&contractType=AWARD","MATHEMATICA INC.","TITLE I II REPORTING",815107
"697",2025-02-10,"EDIES17C0066","Department of Education",6312018,822004,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=EDIES17C0066&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD","MATHEMATICA INC.","This is a contract to develop design options and
assess the feasibility of conducting an impact study of magnet schools, particularly those awarded grants in FY2016 and FY2017 through the federal Magnet Schools Assistance Program (MSAP).",822004
"698",2025-02-10,"91990022F0337","Department of Education",1024607.12,824084,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0337&modNumber=P00007&idvAgencyID=&idvPIID=91990020A0032&contractType=AWARD","SYNERGY ENTERPRISES, INC","t	TO SUPPORT THE ACTIVITIES OF THE ANNUAL REPORTS AND INFORMATION STAFF (ARIS) BY DESKTOPPING HIGH-QUALITY, TIMELY AND RELIABLE STATISTICAL REPORTS AND PRODUCING OTHER WEB-BASED STATISTICAL",824084
"699",2025-02-10,"91990021F0304","Department of Education",3409982,935633,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0304&modNumber=P00003&idvAgencyID=&idvPIID=91990020A0028&contractType=AWARD","ABT GLOBAL LLC","Education Grants Management Support Services (EDGMSS), Blanket Purchase Agreement (BPA): Evaluation Technical Assistance for Education Innovation and Research (EIR) Program Grantees Fiscal Year (FY) 2020 Cohort",935633
"700",2025-02-10,"91990022F0342","Department of Education",3413508,943689,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0342&modNumber=P00007&idvAgencyID=&idvPIID=91990021A0005&contractType=AWARD","MATHEMATICA INC.","Task Order 2: College and Career Readiness for Secondary School Students requirement under the What Works ClearinghouseÃ¢â¿¿Â¢ Preschool-to-Postsecondary Evidence Synthesis Task Orders (WWC PESTO) Blanket Purchase Agreement (BPA).",943689
"701",2025-02-07,"91990023F0051","Department of Education",1546848,950938,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0051&modNumber=P00003&idvAgencyID=&idvPIID=91990018A0002&contractType=AWARD","COLLABRALINK TECHNOLOGIES, INCORPORATED","Senior Database Administrator services (OIG)",950938
"702",2025-02-10,"91990021F0031","Department of Education",4377019.52,961364,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0031&modNumber=P00011&idvAgencyID=&idvPIID=GS10F035AA&contractType=AWARD","QUALITY INFORMATION PARTNERS, INC.","	THE PURPOSE OF THE ADMINISTRATIVE DATA IMPROVEMENT REQUIREMENT IS TO IMPROVE THE QUALITY, COMPARABILITY, AND ACCESSIBILITY OF ELEMENTARY AND SECONDARY EDUCATION DATA.",961364
"703",2025-02-10,"91990023F0303","Department of Education",1180677.23,999004,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0303&modNumber=P00003&idvAgencyID=&idvPIID=91990020A0014&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","The purpose of this procurement is to support the collaboration of the National Center for Education Statistics (NCES) Cross-Sectional Survey Branch (CSB) with the National Center for Science and Engineering Statistics (NCSES) to conduct the 2024 National Training and Education Workforce Survey (NTEWS).",999004
"704",2025-02-10,"91990023F0334","Department of Education",1348171.93,1038742,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0334&modNumber=P00004&idvAgencyID=&idvPIID=91990023D0046&contractType=AWARD","SANAMETRIX INC","ASSISTANCE WITH SURVEYS FOR PROGRAM OFFICE",1038742
"705",2025-02-10,"91990024F0393","Department of Education",1197598,1094299,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0393&modNumber=P00001&idvAgencyID=&idvPIID=91990021D0004&contractType=AWARD","WESTAT, INC.","Evaluation of Strategies to Improve Outcomes for English Learners or Policies Supporting English Learners",1094299
"706",2025-02-07,"91990023C0051","Department of Education",3406477,1169264,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023C0051&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","AKIMA DATA MANAGEMENT LLC","Information Assurance Support Services",1169264
"707",2025-02-10,"91990024F0387","Department of Education",1239292,1223687,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0387&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0041&contractType=AWARD","QUALITY INFORMATION PARTNERS, INC.","THE PURPOSE OF THIS PROCUREMENT IS TO PROVIDE SUPPORT FOR REVIEWING MOUS AND LEGAL AGREEMENTS.",1223687
"708",2025-02-10,"91990021F0370","Department of Education",3749760.03,1228463,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0370&modNumber=P00005&idvAgencyID=&idvPIID=91990021A0003&contractType=AWARD","ABT GLOBAL LLC","WWC-PESTO Task Order 1 (Abt)",1228463
"709",2025-02-10,"91990018C0020","Department of Education",14359403,1233297,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990018C0020&modNumber=P00009&idvAgencyID=&idvPIID=&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","Comprehensive Literacy Program Evaluation

The purpose of the Striving Readers Comprehensive Literacy (SRCL) program is to provide support for the implementation of high-quality comprehensive literacy instruction programs to advance literacy skills for all children from birth through grade 12 with a special emphasis on disadvantaged children.",1233297
"710",2025-02-10,"91990022F0303","Department of Education",4216734,1692247,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0303&modNumber=P00003&idvAgencyID=&idvPIID=91990020A0028&contractType=AWARD","ABT GLOBAL LLC","EDGMSS BPA, EVALUATION TECHNICAL ASSISTANCE FOR EIR GRANTS FY 2021 COHORT TASK ORDER",1692247
"711",2025-02-10,"91990022F0302","Department of Education",4666949.36,1783525,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0302&modNumber=P00012&idvAgencyID=&idvPIID=91990020A0032&contractType=AWARD","SYNERGY ENTERPRISES, INC","A REQUIREMENT TO OBTAIN LOGISTICS SUPPORT AND SERVICES TO WORK WITH NCES IN FULFILLING ITS MISSION.",1783525
"712",2025-02-10,"91990024F0304","Department of Education",2576286,1821845,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0304&modNumber=P00002&idvAgencyID=&idvPIID=91990023D0031&contractType=AWARD","MATHEMATICA INC.","The contractor is to provide technical assistance to the external evaluators of the projects funded by the Postsecondary Student Success Grant Program as required by the Performance Work Statement.",1821845
"713",2025-02-07,"91990022C0024","Department of Education",4498436.02,1839655,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022C0024&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD","EXPEDITEINFOTECH, INC.","Support for Education Department central automated processing system (EDCAPS) technical program management services.",1839655
"714",2025-02-10,"91990022F0328","Department of Education",3039504,1908061,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0328&modNumber=P00006&idvAgencyID=&idvPIID=91990020A0014&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","The purpose of this task order (TO) is to support the collection of descriptive data on the context of elementary and secondary education in the United States through the NTPS Survey Program.",1908061
"715",2025-02-10,"91990021F0001","Department of Education",15684003,1910574,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0001&modNumber=P00014&idvAgencyID=&idvPIID=GS00Q14OADU217&contractType=AWARD","RESEARCH TRIANGLE INSTITUTE","Trends in International Mathematics and Science Study (TIMSS) 2023",1910574
"716",2025-02-10,"91990021F0343","Department of Education",6057647.52,1935147,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021F0343&modNumber=P00005&idvAgencyID=&idvPIID=EDIES12D0002&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","This task order supports the National Household Education Surveys (NHES) and the National Training and Education Workforce Surveys (NTEWS) conducted by the Cross-Sectional Surveys Branch (CSB) within the Sample Surveys Division of the (NCES).",1935147
"717",2025-02-10,"91990024F0369","Department of Education",2159250,1976219,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0369&modNumber=P00002&idvAgencyID=&idvPIID=91990022A0017&contractType=AWARD","MATHEMATICA INC.","a.	Call Order 003 is the first in an expected series of work to understand the implementation and impacts of the U.S. Department of Educations (the Departments) satisfactory academic progress (SAP) policy for students to maintain eligibility for federal financial aid. ",1976219
"718",2025-02-10,"91990024F0386","Department of Education",2082525,1991712,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0386&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0050&contractType=AWARD","WESTAT, INC.","Evaluating Implementation of the 2022-2027 Cycle of the Regional Educational Laboratories",1991712
"719",2025-02-10,"91990024F0342","Department of Education",2599392,2117277,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0342&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0005&contractType=AWARD","MATHEMATICA INC.","What Works Clearinghouse Preschool-to-Postsecondary Evidence Synthesis Task Orders
(WWC-PESTO) Task Order 06: Promoting Student Attendance in Kindergarten through Grade 12",2117277
"720",2025-02-10,"91990024F0376","Department of Education",2758849,2456734,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0376&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0003&contractType=AWARD","ACCENTURE FEDERAL SERVICES LLC","	THE PURPOSE OF THIS REQUIREMENT IS TO SUPPORT THE NEWLY ESTABLISHED IES COMMUNICATIONS MANAGEMENT OFFICE IN COMMUNICATIONS PLANNING, STRATEGY, MANAGEMENT AND IMPLEMENTATION.",2456734
"721",2025-02-10,"91990024F0316","Department of Education",4974944.92,2465302,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0316&modNumber=P00001&idvAgencyID=&idvPIID=91990023A0001&contractType=AWARD","MATHEMATICA INC.","What Works Clearinghouse Tool, Online Assistance,
Standards, and Training (WWC-TOAST) Task Order 3",2465302
"722",2025-02-10,"91990023F0336","Department of Education",3742166,2482552,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0336&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0003&contractType=AWARD","ABT GLOBAL LLC","The purpose of this Task Order is to conduct systematic
reviews of evidence and meetings of a panel of
researchers and practitioners to produce a practice
guide.
WWC PESTO TO4 - English Language and Literacy
Interventions in Kindergarten to Grade 3",2482552
"723",2025-02-10,"91990023F0325","Department of Education",3778833,2490906,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0325&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0004&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","The purpose of this task order is to prepare publications that are informed by a systematic review of evidence on the impacts of instructional practices and routines that promote student learning and engagement in Science, Technology, Engineering, and Mathematics (STEM) in grades K-8th.",2490906
"724",2025-02-10,"91990023F0072","Department of Education",3711302,2585973,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990023F0072&modNumber=P00002&idvAgencyID=&idvPIID=91990021A0004&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","What Works ClearinghouseTM Preschool-to-Postsecondary Evidence Synthesis Task Orders: Task Order 05: Supporting Student Success in High School Classrooms",2585973
"725",2025-02-10,"91990024C0015","Department of Education",2860554.72,2611089,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024C0015&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD","DC GLOBAL PLANNING LLC","Logistical Support services contract for the Principal Investigator meeting, for the National Center for Education Research, within the Institute of Education Sciences.",2611089
"726",2025-02-10,"91990019F0001","Department of Education",10286679.81,2721387,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990019F0001&modNumber=P00018&idvAgencyID=&idvPIID=GS35F0329Y&contractType=AWARD","SANAMETRIX INC","The Development And Technical Assistance in Leveraging Analysis Based Websites (Datalab) requirement provides web-based data analysis tools for survey studies fielded by the National Center for Education Statistics (NCES).",2721387
"727",2025-02-10,"91990024F0345","Department of Education",1725455.39,2862185,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0345&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0029&contractType=AWARD","THE MANHATTAN STRATEGY GROUP LLC","The purpose of this procurement is to provide support for outreach and dissemination for the National Center for Education Statistics' (NCES) different types of reports and data products for data collections and surveys covered by the NCES' statistics line.",2862185
"728",2025-02-10,"91990025F0012","Department of Education",2899258,2899258,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990025F0012&modNumber=P00001&idvAgencyID=&idvPIID=91990024D0007&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","Evaluation of Grant Programs to Increase School Based Mental Health Services: Phase II Activities",2899258
"729",2025-02-10,"91990022F0350","Department of Education",5842394.06,3228093,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990022F0350&modNumber=P00005&idvAgencyID=&idvPIID=91990020A0014&contractType=AWARD","AMERICAN INSTITUTES FOR RESEARCH IN THE","The purpose of this requirement is to provide support to the Administrative Data Division (ADD/El-Sec) staff to ensure data quality, improve statistical methodology, and increase production efficiency of data files and reports.",3228093
"730",2025-02-10,"91990021C0052","Department of Education",6747689,3313202,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990021C0052&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD","ACTIVATE RESEARCH INC.","THE TEACHING AND LEARNING INTERNATIONAL SURVEY (TALIS) IS A SURVEY ABOUT TEACHERS, TEACHING, AND LEARNING ENVIRONMENTS AND IS SPONSORED BY THE ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT (OECD).",3313202
"731",2025-02-10,"91990024F0389","Department of Education",3836117.32,3482782,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0389&modNumber=P00003&idvAgencyID=&idvPIID=91990023D0049&contractType=AWARD","THE HATCHER GROUP INC","THE PURPOSE OF THIS REQUIREMENT IS TO SUPPORT THE NEWLY ESTABLISHED IES COMMUNICATIONS MANAGEMENT OFFICE BY PROVIDING CONTENT DEVELOPMENT AND DEPLOYMENT SUPPORT.",3482782
"732",2025-02-10,"91990024F0348","Department of Education",4185611,3537328,2025-02-11,"TERMINATED","https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9100&PIID=91990024F0348&modNumber=P00001&idvAgencyID=&idvPIID=91990023D0005&contractType=AWARD","ACTIVATE RESEARCH INC.","INTERNATIONAL ACTIVITIES RESEARCH, EVALUATION, AND QUALITY CONTROL SUPPORT CONTRACT",3537328
